time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2024-01-03 05:15,4947.603,3521.016,356.368,751.061,113,67,26
2024-01-03 05:30,4947.651,3521.016,356.368,751.061,83,67,26
2024-01-03 05:45,4947.693,3521.016,356.368,751.061,95,67,27
2024-01-03 06:00,4947.738,3521.016,356.368,751.061,77,67,26
2024-01-03 06:15,4947.778,3521.016,356.368,751.061,112,67,26
2024-01-03 06:30,4947.828,3521.016,356.368,751.061,80,67,27
2024-01-03 06:45,4947.872,3521.016,356.368,751.061,111,67,26
2024-01-03 07:00,4947.919,3521.016,356.368,751.061,70,67,26
2024-01-03 07:15,4947.921,3521.054,356.368,751.061,96,67,26
2024-01-03 07:30,4947.921,3521.099,356.368,751.061,89,66,26
2024-01-03 07:45,4947.921,3521.143,356.368,751.061,113,67,27
2024-01-03 08:00,4947.921,3521.193,356.368,751.061,104,67,26
2024-01-03 08:15,4947.921,3521.235,356.368,751.061,96,67,26
2024-01-03 08:30,4947.921,3521.279,356.368,751.061,96,67,26
2024-01-03 08:45,4947.921,3521.321,356.368,751.061,113,67,27
2024-01-03 09:00,4947.921,3521.367,356.368,751.061,113,66,27
2024-01-03 09:15,4947.921,3521.415,356.368,751.061,99,67,26
2024-01-03 09:30,4947.921,3521.459,356.368,751.061,96,67,22
2024-01-03 09:45,4947.921,3521.500,356.368,751.061,96,67,12
2024-01-03 10:00,4947.921,3521.529,356.368,751.061,105,68,-0
2024-01-03 10:15,4947.921,3521.564,356.368,751.061,113,24,14
2024-01-03 10:30,4947.921,3521.592,356.368,751.061,114,55,-0
2024-01-03 10:45,4947.921,3521.618,356.368,751.061,86,54,-31
2024-01-03 11:00,4947.921,3521.631,356.368,751.061,97,401,-60
2024-01-03 11:15,4947.921,3521.673,356.368,751.063,87,66,-161
2024-01-03 11:30,4947.921,3521.675,356.368,751.071,113,67,-76
2024-01-03 11:45,4947.921,3521.699,356.368,751.071,79,67,-31
2024-01-03 12:00,4947.921,3521.722,356.368,751.071,97,67,1
2024-01-03 12:15,4947.921,3521.753,356.368,751.071,66,98,-93
2024-01-03 12:30,4947.921,3521.761,356.368,751.074,112,88,-93
2024-01-03 12:45,4947.921,3521.778,356.368,751.074,93,66,-41
2024-01-03 13:00,4947.921,3521.799,356.368,751.074,113,66,17
2024-01-03 13:15,4947.921,3521.839,356.368,751.074,86,73,-53
2024-01-03 13:30,4947.921,3521.846,356.368,751.084,96,67,-74
2024-01-03 13:45,4947.921,3521.857,356.368,751.090,95,66,-173
2024-01-03 14:00,4947.921,3521.857,356.368,751.106,113,67,-191
2024-01-03 14:15,4947.921,3521.860,356.368,751.137,114,69,-86
2024-01-03 14:30,4947.921,3521.873,356.368,751.138,114,84,-56
2024-01-03 14:45,4947.921,3521.883,356.368,751.146,101,94,3
2024-01-03 15:00,4947.921,3521.927,356.368,751.146,98,83,14
2024-01-03 15:15,4947.921,3521.947,356.368,751.149,97,70,16
2024-01-03 15:30,4947.921,3521.988,356.368,751.149,96,70,-3
2024-01-03 15:45,4947.921,3522.024,356.368,751.149,113,70,23
2024-01-03 16:00,4947.921,3522.070,356.368,751.149,113,430,26
2024-01-03 16:15,4947.921,3522.152,356.368,751.149,113,108,27
2024-01-03 16:30,4947.921,3522.206,356.368,751.149,114,108,46
2024-01-03 16:45,4947.921,3522.265,356.368,751.149,114,42,27
2024-01-03 17:00,4947.921,3522.305,356.368,751.149,114,42,26
2024-01-03 17:15,4947.921,3522.349,356.368,751.149,114,42,26
2024-01-03 17:30,4947.921,3522.388,356.368,751.149,116,42,26
2024-01-03 17:45,4947.921,3522.433,356.368,751.149,110,42,26
2024-01-03 18:00,4947.921,3522.471,356.368,751.149,114,42,26
2024-01-03 18:15,4947.921,3522.516,356.368,751.149,99,42,26
2024-01-03 18:30,4947.921,3522.554,356.368,751.149,114,42,26
2024-01-03 18:45,4947.921,3522.596,356.368,751.149,71,42,27
2024-01-03 19:00,4947.921,3522.629,356.368,751.149,96,42,26
2024-01-03 19:15,4947.921,3522.671,356.368,751.149,60,42,26
2024-01-03 19:30,4947.921,3522.702,356.368,751.149,97,42,26
2024-01-03 19:45,4947.921,3522.744,356.368,751.149,71,42,26
2024-01-03 20:00,4947.921,3522.776,356.368,751.149,96,42,26
2024-01-03 20:15,4947.921,3522.817,356.368,751.149,80,42,26
2024-01-03 20:30,4947.921,3522.850,356.368,751.149,96,42,26
2024-01-03 20:45,4947.921,3522.890,356.368,751.149,90,42,26
2024-01-03 21:00,4947.921,3522.923,356.368,751.149,110,42,26
2024-01-03 21:15,4947.961,3522.925,356.368,751.149,111,42,25
2024-01-03 21:30,4947.999,3522.925,356.368,751.149,114,42,26
2024-01-03 21:45,4948.041,3522.925,356.368,751.149,96,42,26
2024-01-03 22:00,4948.076,3522.925,356.368,751.149,96,42,26
2024-01-03 22:15,4948.114,3522.925,356.368,751.149,96,42,26
2024-01-03 22:30,4948.149,3522.925,356.368,751.149,111,42,26
2024-01-03 22:45,4948.188,3522.925,356.368,751.149,112,42,26
2024-01-03 23:00,4948.229,3522.925,356.368,751.149,108,42,26
2024-01-03 23:15,4948.269,3522.925,356.368,751.149,97,42,26
2024-01-03 23:30,4948.306,3522.925,356.368,751.149,88,42,26
2024-01-03 23:45,4948.341,3522.925,356.368,751.149,96,42,26
2024-01-04 00:00,4948.380,3522.925,356.368,751.149,94,42,30
2024-01-04 00:15,4948.417,3522.925,356.368,751.149,113,42,26
2024-01-04 00:30,4948.461,3522.925,356.368,751.149,77,42,26
2024-01-04 00:45,4948.496,3522.925,356.368,751.149,97,42,26
2024-01-04 01:00,4948.536,3522.925,356.368,751.149,61,42,26
2024-01-04 01:15,4948.569,3522.925,356.368,751.149,105,42,26
2024-01-04 01:30,4948.610,3522.925,356.368,751.149,90,42,27
2024-01-04 01:45,4948.648,3522.925,356.368,751.149,114,43,26
2024-01-04 02:00,4948.691,3522.925,356.368,751.149,90,42,26
2024-01-04 02:15,4948.726,3522.925,356.368,751.149,98,42,26
2024-01-04 02:30,4948.765,3522.925,356.368,751.149,94,42,26
2024-01-04 02:45,4948.801,3522.925,356.368,751.149,114,42,26
2024-01-04 03:00,4948.841,3522.925,356.368,751.149,113,42,25
2024-01-04 03:15,4948.882,3522.925,356.368,751.149,96,42,26
2024-01-04 03:30,4948.920,3522.925,356.368,751.149,95,42,27
2024-01-04 03:45,4948.958,3522.925,356.368,751.149,97,42,26
2024-01-04 04:00,4948.993,3522.925,356.368,751.149,98,42,26
2024-01-04 04:15,4949.033,3522.925,356.368,751.149,113,42,26
2024-01-04 04:30,4949.071,3522.925,356.368,751.149,113,42,26
2024-01-04 04:45,4949.115,3522.925,356.368,751.149,86,42,26
2024-01-04 05:00,4949.148,3522.925,356.368,751.149,96,42,26
2024-01-04 05:15,4949.188,3522.925,356.368,751.149,76,42,26
2024-01-04 05:30,4949.220,3522.925,356.368,751.149,111,42,26
2024-01-04 05:45,4949.265,3522.925,356.368,751.149,80,42,26
2024-01-04 06:00,4949.301,3522.925,356.368,751.149,114,42,25
2024-01-04 06:15,4949.344,3522.925,356.368,751.149,60,42,26
2024-01-04 06:30,4949.375,3522.925,356.368,751.149,96,42,26
2024-01-04 06:45,4949.417,3522.925,356.368,751.149,75,42,26
2024-01-04 07:00,4949.450,3522.925,356.368,751.149,113,42,26
2024-01-04 07:15,4949.452,3522.968,356.368,751.149,98,42,26
2024-01-04 07:30,4949.452,3523.004,356.368,751.149,96,42,26
2024-01-04 07:45,4949.452,3523.044,356.368,751.149,95,42,27
2024-01-04 08:00,4949.452,3523.078,356.368,751.149,97,42,26
2024-01-04 08:15,4949.452,3523.116,356.368,751.149,111,42,26
2024-01-04 08:30,4949.452,3523.155,356.368,751.149,113,42,26
2024-01-04 08:45,4949.452,3523.197,356.368,751.149,112,56,58
2024-01-04 09:00,4949.452,3523.239,356.368,751.149,96,53,49
2024-01-04 09:15,4949.452,3523.279,356.368,751.149,96,54,49
2024-01-04 09:30,4949.452,3523.321,356.368,751.149,111,53,49
2024-01-04 09:45,4949.452,3523.362,356.368,751.149,112,56,45
2024-01-04 10:00,4949.452,3523.406,356.368,751.149,92,57,24
2024-01-04 10:15,4949.452,3523.442,356.368,751.149,96,58,37
2024-01-04 10:30,4949.452,3523.480,356.368,751.149,74,57,-42
2024-01-04 10:45,4949.452,3523.491,356.368,751.149,96,65,33
2024-01-04 11:00,4949.452,3523.531,356.368,751.149,132,253,59
2024-01-04 11:15,4949.452,3523.608,356.368,751.149,1667,206,24
2024-01-04 11:30,4949.452,3523.998,356.368,751.149,115,213,-63
2024-01-04 11:45,4949.452,3524.055,356.368,751.149,163,202,-148
2024-01-04 12:00,4949.452,3524.089,356.368,751.150,145,198,-22
2024-01-04 12:15,4949.452,3524.156,356.368,751.150,199,198,-73
2024-01-04 12:30,4949.452,3524.209,356.368,751.150,167,194,-82
2024-01-04 12:45,4949.452,3524.267,356.368,751.150,189,208,-119
2024-01-04 13:00,4949.452,3524.317,356.368,751.150,156,206,-99
2024-01-04 13:15,4949.452,3524.368,356.368,751.150,142,207,-28
2024-01-04 13:30,4949.452,3524.437,356.368,751.150,226,207,-5
2024-01-04 13:45,4949.452,3524.522,356.368,751.150,254,202,43
2024-01-04 14:00,4949.452,3524.619,356.368,751.150,624,247,-14
2024-01-04 14:15,4949.452,3524.778,356.368,751.150,98,203,-20
2024-01-04 14:30,4949.452,3524.835,356.368,751.150,99,196,-31
2024-01-04 14:45,4949.452,3524.897,356.368,751.150,92,202,13
2024-01-04 15:00,4949.452,3524.965,356.368,751.150,98,195,24
2024-01-04 15:15,4949.452,3525.040,356.368,751.150,97,195,-1
2024-01-04 15:30,4949.452,3525.106,356.368,751.150,114,195,17
2024-01-04 15:45,4949.452,3525.178,356.368,751.150,96,83,43
2024-01-04 16:00,4949.452,3525.230,356.368,751.150,116,109,56
2024-01-04 16:15,4949.452,3525.296,356.368,751.150,98,81,58
2024-01-04 16:30,4949.452,3525.352,356.368,751.150,116,115,58
2024-01-04 16:45,4949.452,3525.415,356.368,751.150,107,243,59
2024-01-04 17:00,4949.452,3525.510,356.368,751.150,118,207,58
2024-01-04 17:15,4949.452,3525.597,356.368,751.150,119,199,58
2024-01-04 17:30,4949.452,3525.682,356.368,751.150,115,195,58
2024-01-04 17:45,4949.452,3525.768,356.368,751.150,114,192,57
2024-01-04 18:00,4949.452,3525.855,356.368,751.150,115,213,57
2024-01-04 18:15,4949.452,3525.941,356.368,751.150,114,205,58
2024-01-04 18:30,4949.452,3526.030,356.368,751.150,115,199,58
2024-01-04 18:45,4949.452,3526.114,356.368,751.150,98,204,58
2024-01-04 19:00,4949.452,3526.199,356.368,751.150,92,204,57
2024-01-04 19:15,4949.452,3526.277,356.368,751.150,97,204,57
2024-01-04 19:30,4949.452,3526.361,356.368,751.150,76,198,68
2024-01-04 19:45,4949.452,3526.432,356.368,751.150,576,713,214
2024-01-04 20:00,4949.452,3526.683,356.368,751.150,385,302,219
2024-01-04 20:15,4949.452,3526.817,356.368,751.150,103,105,145
2024-01-04 20:30,4949.452,3526.903,356.368,751.150,76,67,135
2024-01-04 20:45,4949.452,3526.969,356.368,751.150,113,67,137
2024-01-04 21:00,4949.452,3527.047,356.368,751.150,93,100,124
2024-01-04 21:15,4949.520,3527.049,356.368,751.150,97,66,128
2024-01-04 21:30,4949.592,3527.049,356.368,751.150,91,77,120
2024-01-04 21:45,4949.654,3527.049,356.368,751.150,113,99,112
2024-01-04 22:00,4949.727,3527.049,356.368,751.150,113,102,126
2024-01-04 22:15,4949.800,3527.049,356.368,751.150,98,66,125
2024-01-04 22:30,4949.870,3527.049,356.368,751.150,96,67,135
2024-01-04 22:45,4949.937,3527.049,356.368,751.150,96,66,128
2024-01-04 23:00,4950.005,3527.049,356.368,751.150,107,66,120
2024-01-04 23:15,4950.072,3527.049,356.368,751.150,115,71,111
2024-01-04 23:30,4950.140,3527.049,356.368,751.150,114,66,117
2024-01-04 23:45,4950.206,3527.049,356.368,751.150,88,69,95
2024-01-05 00:00,4950.257,3527.049,356.368,751.150,97,66,28
2024-01-05 00:15,4950.302,3527.049,356.368,751.150,94,66,28
2024-01-05 00:30,4950.345,3527.049,356.368,751.150,113,67,29
2024-01-05 00:45,4950.395,3527.049,356.368,751.150,81,68,28
2024-01-05 01:00,4950.440,3527.049,356.368,751.150,97,68,27
2024-01-05 01:15,4950.486,3527.049,356.368,751.150,69,77,27
2024-01-05 01:30,4950.527,3527.049,356.368,751.150,112,66,28
